ID,Massage_Type,Avg_Spending,Duration_Minutes
1,Swedish Massage,85.00,60
2,Deep Tissue Massage,110.00,90
3,Hot Stone Massage,125.00,75
4,Neck and Shoulder Massage,65.00,45
5,Aromatherapy Massage,95.00,60
6,Thai Massage,100.00,90
7,Sports Massage,120.00,60
8,Prenatal Massage,90.00,60
9,Reflexology,70.00,45
10,Full Body Relaxation,140.00,120
11,Neck Massage,60.00,30
12,Shoulder Massage,55.00,30
13,Head and Neck Massage,75.00,45
14,Tension Relief Massage,80.00,60
15,Upper Body Massage,90.00,60
16,Therapeutic Neck Massage,85.00,45
17,Cervical Spine Massage,95.00,60
18,Trigger Point Therapy,100.00,45
19,Myofascial Release,105.00,60
20,Craniosacral Therapy,110.00,75
21,Chair Massage,45.00,20
22,Express Neck Relief,40.00,15
23,Office Worker Special,70.00,45
24,Stress Relief Massage,85.00,60
25,Posture Correction Massage,90.00,75
26,Computer Neck Massage,65.00,30
27,Whiplash Recovery Massage,120.00,60
28,TMJ Relief Massage,95.00,45
29,Migraine Relief Massage,80.00,45
30,Tension Headache Massage,75.00,30